ID,Author
1,Mark P. O. Morford
2,A First Book
3,A. A. Attanasio
4,A. A. Milne
5,A. B. C. Whipple
6,A. C. Bhaktivedanta Swami Prabhupada
7,A. C. Crispin
8,A. C. Doyle
9,A. C. Gordon
10,A. J. Holt
11,A. J. Wood
12,A. L. Alexander
13,A. L. Haskett
14,A. M. Rosenthal
15,A. Manette Ansay
16,A. Michael Kahn
17,A. Pate
18,A. S. Byatt
19,A. Scott Berg
20,A. Sewell
21,A. V. Sellwood
22,A. Verghese
23,A.A. Milne
24,A.C. Crispin
25,A.E. Van Vogt
26,A.J. Jacobs
27,A.N. Roquelaure
28,A.R.R.R. Roberts
29,A.S. �Byatt
30,Aaron Allston
31,Aaron Copland
32,Abby Kanter
33,Abraham Verghese
34,AD HUDLER
35,Adam Bagdasarian
36,Adam Barrow
37,Adam Brate
38,Adam Braver
39,Adam Davies
40,Adam Gopnik
41,Adam Haslett
42,Adam J. Jackson
43,Adam Lebor
44,Adam Lee
45,Adam Rapp
46,Adele Faber
47,Adele Lang
48,Adeline Yen Mah
49,Adib Khan
50,Adrian Mitchell
51,Adrian Plass
52,Adrian Savage
53,Adriana Trigiani
54,ADRIANA TRIGIANI
55,Adrianne Lee
56,Africa Fine
57,Agatha Christie
58,AgnÃ?Â¨s Desarthe
59,Agnes Von Kurowsky
60,Ahdaf Soueif
61,Ahne
62,Aidan Chambers
63,Aidan Meehan
64,Aiden W. Tozer
65,Aileen Paterson
66,Aimee Bender
67,Aimee Liu
68,Aimee Thurlo
69,AINSLIE T. EMBREE
70,Akiba Rubinstein
71,Akif Pirincci
72,Al Berto
73,Al Franken
74,Alain de Botton
75,Alain Finkielkraut
76,Alain Stella
77,Alain-Fournier
78,Alan Aldrich
79,Alan Alexander Milne
80,Alan Bennett
81,Alan Bullock
82,Alan Cumming
83,Alan Dean Foster
84,Alan Durband
85,Alan Epstein
86,ALAN FURST
87,Alan Garner
88,Alan Jacobson
89,Alan Kaufman
90,Alan Lightman
91,Alan M. Dershowitz
92,Alan Moore
93,Alan P. Lightman
